epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.236,2.64536,6.1625,2.0552,0.00102,0.2619,0.05632,0.02938,2.64652,6.01896,1.58794,7.272e-05,7.272e-05,7.272e-05
2,41.5398,2.24375,5.24316,1.76699,0.00115,0.23469,0.02461,0.00905,2.26091,5.66946,1.4856,0.000139232,0.000139232,0.000139232
3,59.177,2.25834,4.49813,1.77399,0.00083,0.16667,0.0293,0.00394,2.12129,5.62376,1.46505,0.000189545,0.000189545,0.000189545
4,76.7646,2.14115,4.28674,1.69551,0.00093,0.11905,0.05065,0.01002,2.06545,5.5849,1.51772,0.000223659,0.000223659,0.000223659
5,94.6794,2.28412,4.07363,1.6944,0.00108,0.11905,0.07698,0.01193,1.88703,5.64377,1.47639,0.000241576,0.000241576,0.000241576
6,118.631,2.14019,3.74904,1.71541,0.00153,0.23016,0.15368,0.03972,1.87425,5.29596,1.4482,0.000243294,0.000243294,0.000243294
7,142.524,2.11999,3.59684,1.67169,0.00213,0.33175,0.13361,0.03607,1.99966,5.12198,1.49959,0.000228813,0.000228813,0.000228813
8,166.333,2.03947,3.55636,1.58826,0.00411,0.43016,0.22356,0.10393,1.9433,4.89536,1.52606,0.000198135,0.000198135,0.000198135
9,186.948,2.09012,3.41506,1.63321,0.00539,0.54603,0.26999,0.13231,1.94781,4.67565,1.50774,0.000151258,0.000151258,0.000151258
10,208.889,2.01683,3.31056,1.59868,0.00531,0.70317,0.28343,0.1396,1.94684,4.5699,1.49515,8.81821e-05,8.81821e-05,8.81821e-05
